# benzyl alcohol
# wavenumber (cm-1), transmittance 
675.0, 0.7712
680.0, 0.7018
685.0, 0.5806
690.0, 0.219
695.0, 0.0406
700.0, 0.2352
705.0, 0.486
710.0, 0.557
715.0, 0.5227
720.0, 0.398
725.0, 0.227
730.0, 0.0773
735.0, 0.0611
740.0, 0.0922
745.0, 0.1674
750.0, 0.3836
755.0, 0.5929
760.0, 0.7218
765.0, 0.7864
770.0, 0.8194
775.0, 0.8336
780.0, 0.8368
785.0, 0.8248
790.0, 0.8069
795.0, 0.7911
800.0, 0.796
805.0, 0.8065
810.0, 0.8167
815.0, 0.8297
820.0, 0.8516
825.0, 0.8568
830.0, 0.8566
835.0, 0.8562
840.0, 0.8687
845.0, 0.8823
850.0, 0.8817
855.0, 0.8802
860.0, 0.8759
865.0, 0.871
870.0, 0.8641
875.0, 0.8544
880.0, 0.8381
885.0, 0.813
890.0, 0.7741
895.0, 0.7161
900.0, 0.6578
905.0, 0.6838
910.0, 0.7507
915.0, 0.7868
920.0, 0.7949
925.0, 0.7994
930.0, 0.7894
935.0, 0.7738
940.0, 0.7496
945.0, 0.7121
950.0, 0.6653
955.0, 0.6
960.0, 0.5324
965.0, 0.5029
970.0, 0.4928
975.0, 0.4828
980.0, 0.4605
985.0, 0.4273
990.0, 0.3623
995.0, 0.2884
1000.0, 0.2083
1005.0, 0.1396
1010.0, 0.1171
1015.0, 0.1195
1020.0, 0.1315
1025.0, 0.2042
1030.0, 0.2183
1035.0, 0.2123
1040.0, 0.2813
1045.0, 0.3947
1050.0, 0.5071
1055.0, 0.6053
1060.0, 0.6497
1065.0, 0.6515
1070.0, 0.6355
1075.0, 0.6294
1080.0, 0.6826
1085.0, 0.755
1090.0, 0.7814
1095.0, 0.7912
1100.0, 0.7951
1105.0, 0.8082
1110.0, 0.8015
1115.0, 0.8038
1120.0, 0.8042
1125.0, 0.7972
1130.0, 0.7834
1135.0, 0.7637
1140.0, 0.741
1145.0, 0.7118
1150.0, 0.6698
1155.0, 0.6297
1160.0, 0.5868
1165.0, 0.5379
1170.0, 0.4846
1175.0, 0.4695
1180.0, 0.4733
1185.0, 0.4938
1190.0, 0.4962
1195.0, 0.4698
1200.0, 0.4478
1205.0, 0.5041
1210.0, 0.6256
1215.0, 0.6818
1220.0, 0.7061
1225.0, 0.7246
1230.0, 0.7408
1235.0, 0.7515
1240.0, 0.758
1245.0, 0.7603
1250.0, 0.7643
1255.0, 0.7641
1260.0, 0.7608
1265.0, 0.7557
1270.0, 0.7524
1275.0, 0.7485
1280.0, 0.7418
1285.0, 0.7346
1290.0, 0.7256
1295.0, 0.7151
1300.0, 0.7072
1305.0, 0.7018
1310.0, 0.6972
1315.0, 0.6928
1320.0, 0.6886
1325.0, 0.6848
1330.0, 0.6834
1335.0, 0.6836
1340.0, 0.6846
1345.0, 0.6845
1350.0, 0.6771
1355.0, 0.6291
1360.0, 0.5589
1365.0, 0.4893
1370.0, 0.421
1375.0, 0.409
1380.0, 0.451
1385.0, 0.5009
1390.0, 0.5469
1395.0, 0.5993
1400.0, 0.6371
1405.0, 0.6597
1410.0, 0.6825
1415.0, 0.7069
1420.0, 0.7191
1425.0, 0.7278
1430.0, 0.725
1435.0, 0.7145
1440.0, 0.6882
1445.0, 0.5874
1450.0, 0.3887
1455.0, 0.2862
1460.0, 0.6171
1465.0, 0.6905
1470.0, 0.7683
1475.0, 0.8103
1480.0, 0.8078
1485.0, 0.7884
1490.0, 0.7044
1495.0, 0.5233
1500.0, 0.6817
1505.0, 0.9393
1510.0, 0.9425
1515.0, 0.938
1520.0, 0.9378
1525.0, 0.939
1530.0, 0.9398
1535.0, 0.9389
1540.0, 0.9364
1545.0, 0.9327
1550.0, 0.927
1555.0, 0.9193
1560.0, 0.9109
1565.0, 0.9005
1570.0, 0.8864
1575.0, 0.8773
1580.0, 0.8684
1585.0, 0.8594
1590.0, 0.8597
1595.0, 0.8597
1600.0, 0.8523
1605.0, 0.8578
1610.0, 0.8903
1615.0, 0.9363
1620.0, 0.9444
1625.0, 0.9435
1630.0, 0.9435
1635.0, 0.9443
1640.0, 0.9455
1645.0, 0.9478
1650.0, 0.9501
1655.0, 0.9524
1660.0, 0.9547
1665.0, 0.9575
1670.0, 0.9607
1675.0, 0.9628
1680.0, 0.9651
1685.0, 0.9666
1690.0, 0.9652
1695.0, 0.9599
1700.0, 0.954
1705.0, 0.9509
1710.0, 0.9518
1715.0, 0.9534
1720.0, 0.9534
1725.0, 0.9515
1730.0, 0.9487
1735.0, 0.9465
1740.0, 0.9495
1745.0, 0.9571
1750.0, 0.9634
1755.0, 0.9631
1760.0, 0.9625
1765.0, 0.9616
1770.0, 0.9605
1775.0, 0.9592
1780.0, 0.9567
1785.0, 0.9435
1790.0, 0.9206
1795.0, 0.8978
1800.0, 0.8981
1805.0, 0.9359
1810.0, 0.9415
1815.0, 0.9481
1820.0, 0.9646
1825.0, 0.9705
1830.0, 0.9704
1835.0, 0.9683
1840.0, 0.9605
1845.0, 0.9471
1850.0, 0.9321
1855.0, 0.9174
1860.0, 0.9191
1865.0, 0.9295
1870.0, 0.9415
1875.0, 0.9537
1880.0, 0.9663
1885.0, 0.9761
1890.0, 0.9799
1895.0, 0.9801
1900.0, 0.9786
1905.0, 0.9744
1910.0, 0.969
1915.0, 0.9639
1920.0, 0.9561
1925.0, 0.9312
1930.0, 0.8937
1935.0, 0.8871
1940.0, 0.9137
1945.0, 0.9338
1950.0, 0.9374
1955.0, 0.9411
1960.0, 0.9741
1965.0, 0.9788
1970.0, 0.9815
1975.0, 0.9825
1980.0, 0.9825
1985.0, 0.983
1990.0, 0.9837
1995.0, 0.9844
2000.0, 0.9852
2005.0, 0.9861
2010.0, 0.9871
2015.0, 0.9874
2020.0, 0.9875
2025.0, 0.9877
2030.0, 0.9881
2035.0, 0.9891
2040.0, 0.9901
2045.0, 0.9916
2050.0, 0.9934
2055.0, 0.9962
2060.0, 1.0
2065.0, 1.0032
2070.0, 1.0061
2075.0, 1.009
2080.0, 1.0103
2085.0, 1.0107
2090.0, 1.0109
2095.0, 1.0107
2100.0, 1.0104
2105.0, 1.0102
2110.0, 1.0098
2115.0, 1.0092
2120.0, 1.0085
2125.0, 1.0074
2130.0, 1.0064
2135.0, 1.0053
2140.0, 1.0044
2145.0, 1.0039
2150.0, 1.0035
2155.0, 1.0031
2160.0, 1.0025
2165.0, 1.0021
2170.0, 1.0018
2175.0, 1.0015
2180.0, 1.0013
2185.0, 1.0012
2190.0, 1.001
2195.0, 1.0008
2200.0, 1.0007
2205.0, 1.0005
2210.0, 1.0004
2215.0, 1.0007
2220.0, 1.001
2225.0, 1.0013
2230.0, 1.0015
2235.0, 1.0018
2240.0, 1.0021
2245.0, 1.0024
2250.0, 1.0025
2255.0, 1.0028
2260.0, 1.0031
2265.0, 1.0034
2270.0, 1.0036
2275.0, 1.0039
2280.0, 1.0041
2285.0, 1.0043
2290.0, 1.0045
2295.0, 1.0044
2300.0, 1.0043
2305.0, 1.0042
2310.0, 1.0042
2315.0, 1.0041
2320.0, 1.004
2325.0, 1.0039
2330.0, 1.0038
2335.0, 1.0037
2340.0, 1.0037
2345.0, 1.0036
2350.0, 1.0035
2355.0, 1.0034
2360.0, 1.0033
2365.0, 1.0031
2370.0, 1.0027
2375.0, 1.0024
2380.0, 1.002
2385.0, 1.0016
2390.0, 1.0013
2395.0, 1.0009
2400.0, 1.0005
2405.0, 1.0001
2410.0, 0.9997
2415.0, 0.999
2420.0, 0.998
2425.0, 0.9965
2430.0, 0.9939
2435.0, 0.9914
2440.0, 0.9892
2445.0, 0.9878
2450.0, 0.9873
2455.0, 0.9868
2460.0, 0.9865
2465.0, 0.9861
2470.0, 0.9858
2475.0, 0.9858
2480.0, 0.9858
2485.0, 0.9858
2490.0, 0.9858
2495.0, 0.9859
2500.0, 0.986
2505.0, 0.9861
2510.0, 0.9861
2515.0, 0.9854
2520.0, 0.9848
2525.0, 0.9828
2530.0, 0.9811
2535.0, 0.9793
2540.0, 0.9771
2545.0, 0.9747
2550.0, 0.9724
2555.0, 0.9701
2560.0, 0.9678
2565.0, 0.9655
2570.0, 0.9633
2575.0, 0.9611
2580.0, 0.9603
2585.0, 0.9597
2590.0, 0.959
2595.0, 0.9588
2600.0, 0.959
2605.0, 0.9594
2610.0, 0.9595
2615.0, 0.959
2620.0, 0.9584
2625.0, 0.9573
2630.0, 0.9545
2635.0, 0.9516
2640.0, 0.9487
2645.0, 0.9458
2650.0, 0.943
2655.0, 0.9402
2660.0, 0.9374
2665.0, 0.9347
2670.0, 0.932
2675.0, 0.9293
2680.0, 0.926
2685.0, 0.9227
2690.0, 0.9193
2695.0, 0.916
2700.0, 0.9127
2705.0, 0.9082
2710.0, 0.9035
2715.0, 0.8988
2720.0, 0.8925
2725.0, 0.8856
2730.0, 0.8786
2735.0, 0.8713
2740.0, 0.8639
2745.0, 0.8566
2750.0, 0.8494
2755.0, 0.8388
2760.0, 0.8278
2765.0, 0.8169
2770.0, 0.8024
2775.0, 0.7871
2780.0, 0.7762
2785.0, 0.7656
2790.0, 0.7551
2795.0, 0.7456
2800.0, 0.736
2805.0, 0.7187
2810.0, 0.688
2815.0, 0.656
2820.0, 0.6241
2825.0, 0.5924
2830.0, 0.5607
2835.0, 0.5296
2840.0, 0.5142
2845.0, 0.5167
2850.0, 0.5303
2855.0, 0.5529
2860.0, 0.5755
2865.0, 0.5979
2870.0, 0.6085
2875.0, 0.6126
2880.0, 0.617
2885.0, 0.6244
2890.0, 0.6331
2895.0, 0.6382
2900.0, 0.6434
2905.0, 0.6495
2910.0, 0.6603
2915.0, 0.6968
2920.0, 0.7281
2925.0, 0.746
2930.0, 0.764
2935.0, 0.7818
2940.0, 0.7997
2945.0, 0.8108
2950.0, 0.8119
2955.0, 0.8122
2960.0, 0.8118
2965.0, 0.8105
2970.0, 0.7961
2975.0, 0.7665
2980.0, 0.7372
2985.0, 0.7081
2990.0, 0.679
2995.0, 0.65
3000.0, 0.621
3005.0, 0.5933
3010.0, 0.5921
3015.0, 0.593
3020.0, 0.5993
3025.0, 0.6266
3030.0, 0.6538
3035.0, 0.6765
3040.0, 0.6815
3045.0, 0.6846
3050.0, 0.6886
3055.0, 0.7001
3060.0, 0.7248
3065.0, 0.7515
3070.0, 0.7781
3075.0, 0.8047
3080.0, 0.8311
3085.0, 0.8575
3090.0, 0.8837
3095.0, 0.9
3100.0, 0.9056
3105.0, 0.9078
3110.0, 0.9084
3115.0, 0.9082
3120.0, 0.9075
3125.0, 0.9068
3130.0, 0.9051
3135.0, 0.9034
3140.0, 0.901
3145.0, 0.898
3150.0, 0.8949
3155.0, 0.8917
3160.0, 0.8884
3165.0, 0.884
3170.0, 0.8792
3175.0, 0.8741
3180.0, 0.8689
3185.0, 0.8638
3190.0, 0.8587
3195.0, 0.8535
3200.0, 0.8485
3205.0, 0.8434
3210.0, 0.8387
3215.0, 0.8342
3220.0, 0.8298
3225.0, 0.8254
3230.0, 0.8211
3235.0, 0.8138
3240.0, 0.8064
3245.0, 0.799
3250.0, 0.7914
3255.0, 0.7838
3260.0, 0.7744
3265.0, 0.7665
3270.0, 0.7611
3275.0, 0.7561
3280.0, 0.7515
3285.0, 0.7472
3290.0, 0.7431
3295.0, 0.7397
3300.0, 0.7365
3305.0, 0.7336
3310.0, 0.731
3315.0, 0.7287
3320.0, 0.7267
3325.0, 0.7251
3330.0, 0.7239
3335.0, 0.7225
3340.0, 0.7212
3345.0, 0.72
3350.0, 0.719
3355.0, 0.7182
3360.0, 0.7175
3365.0, 0.7168
3370.0, 0.7164
3375.0, 0.7162
3380.0, 0.7162
3385.0, 0.7161
3390.0, 0.7161
3395.0, 0.7161
3400.0, 0.7161
3405.0, 0.7164
3410.0, 0.7167
3415.0, 0.7169
3420.0, 0.7174
3425.0, 0.718
3430.0, 0.7194
3435.0, 0.7208
3440.0, 0.7226
3445.0, 0.7256
3450.0, 0.7287
3455.0, 0.7324
3460.0, 0.7361
3465.0, 0.7403
3470.0, 0.7447
3475.0, 0.7485
3480.0, 0.7504
3485.0, 0.7512
3490.0, 0.7515
3495.0, 0.7515
3500.0, 0.7511
3505.0, 0.7444
3510.0, 0.7245
3515.0, 0.7007
3520.0, 0.6771
3525.0, 0.6534
3530.0, 0.6298
3535.0, 0.6064
3540.0, 0.5829
3545.0, 0.5596
3550.0, 0.5362
3555.0, 0.5229
3560.0, 0.5205
3565.0, 0.5227
3570.0, 0.5548
3575.0, 0.5976
3580.0, 0.6403
3585.0, 0.6828
3590.0, 0.7253
3595.0, 0.7675
3600.0, 0.8098
3605.0, 0.8424
3610.0, 0.8608
3615.0, 0.8718
3620.0, 0.89
3625.0, 0.9143
3630.0, 0.9268
3635.0, 0.9359
3640.0, 0.9415
3645.0, 0.9442
3650.0, 0.9468
3655.0, 0.9493
3660.0, 0.9509
3665.0, 0.9524
3670.0, 0.9536
3675.0, 0.9548
3680.0, 0.9557
3685.0, 0.9563
3690.0, 0.9566
3695.0, 0.9568
3700.0, 0.9571
3705.0, 0.9573
3710.0, 0.9573
3715.0, 0.957
3720.0, 0.9568
3725.0, 0.9565
3730.0, 0.9561
3735.0, 0.9555
3740.0, 0.9547
3745.0, 0.954
3750.0, 0.9533
3755.0, 0.953
3760.0, 0.9525
3765.0, 0.9523
3770.0, 0.9521
3775.0, 0.9523
3780.0, 0.9525
3785.0, 0.9528
3790.0, 0.9536
3795.0, 0.9548
3800.0, 0.9559
3805.0, 0.9568
3810.0, 0.958
3815.0, 0.9591
3820.0, 0.9599
3825.0, 0.9607
3830.0, 0.9614
3835.0, 0.962
3840.0, 0.9628
3845.0, 0.9632
3850.0, 0.9634
3855.0, 0.9635
3860.0, 0.9637
3865.0, 0.9638
3870.0, 0.9637
3875.0, 0.9636
3880.0, 0.9635
3885.0, 0.9634
3890.0, 0.9632
3895.0, 0.9628
3900.0, 0.9623
3905.0, 0.9616
3910.0, 0.9609
3915.0, 0.9602
3920.0, 0.9595
3925.0, 0.9587
3930.0, 0.9575
3935.0, 0.9566
3940.0, 0.9555
3945.0, 0.9544
3950.0, 0.9533
3955.0, 0.9521
3960.0, 0.9517
3965.0, 0.9518
3970.0, 0.952
3975.0, 0.9521
3980.0, 0.9531
