# toluene
# wavenumber (cm-1), transmittance
579.481, 0.641
587.912705, 0.628
596.34441, 0.5971
604.776115, 0.577
613.20782, 0.5769
621.639525, 0.5798
630.07123, 0.5918
638.502935, 0.6108
646.93464, 0.6274
655.366345, 0.6497
663.79805, 0.651
672.229755, 0.6248
680.66146, 0.5442
689.093165, 0.4429
697.52487, 0.0575
705.956575, 0.3035
714.38828, 0.5274
722.819985, 0.3347
731.25169, 0.0216
739.683395, 0.0324
748.1151, 0.2982
756.546805, 0.5973
764.97851, 0.7349
773.410215, 0.788
781.84192, 0.8113
790.273625, 0.7686
798.70533, 0.8408
807.137035, 0.8582
815.56874, 0.862
824.000445, 0.865
832.43215, 0.8609
840.863855, 0.8424
849.29556, 0.8361
857.727265, 0.8562
866.15897, 0.865
874.590675, 0.86
883.02238, 0.862
891.454085, 0.8418
899.88579, 0.7585
908.317495, 0.8284
916.7492, 0.8524
925.180905, 0.857
933.61261, 0.8462
942.044315, 0.8468
950.47602, 0.8363
958.907725, 0.8306
967.33943, 0.8193
975.771135, 0.816
984.20284, 0.809
992.634545, 0.816
1001.06625, 0.8101
1009.497955, 0.808
1017.92966, 0.7964
1026.361365, 0.7253
1034.79307, 0.393
1043.224775, 0.5963
1051.65648, 0.6415
1060.088185, 0.7345
1068.51989, 0.7525
1076.951595, 0.6544
1085.3833, 0.412
1093.815005, 0.7094
1102.24671, 0.7814
1110.678415, 0.7422
1119.11012, 0.8318
1127.541825, 0.848
1135.97353, 0.8449
1144.405235, 0.8369
1152.83694, 0.8107
1161.268645, 0.7971
1169.70035, 0.804
1178.132055, 0.7551
1186.56376, 0.7781
1194.995465, 0.8279
1203.42717, 0.838
1211.858875, 0.7977
1220.29058, 0.8488
1228.722285, 0.869
1237.15399, 0.8672
1245.585695, 0.8535
1254.0174, 0.8581
1262.449105, 0.8687
1270.88081, 0.8673
1279.312515, 0.867
1287.74422, 0.8686
1296.175925, 0.8624
1304.60763, 0.8534
1313.039335, 0.842
1321.47104, 0.85
1329.902745, 0.8405
1338.33445, 0.8386
1346.766155, 0.8336
1355.19786, 0.8158
1363.629565, 0.7879
1372.06127, 0.7353
1380.492975, 0.597
1388.92468, 0.7025
1397.356385, 0.748
1405.78809, 0.7375
1414.219795, 0.7192
1422.6515, 0.7022
1431.083205, 0.6898
1439.51491, 0.6608
1447.946615, 0.5566
1456.37832, 0.401
1464.810025, 0.3134
1473.24173, 0.362
1481.673435, 0.4888
1490.10514, 0.5048
1498.536845, 0.1906
1506.96855, 0.3032
1515.400255, 0.6929
1523.83196, 0.7058
1532.263665, 0.708
1540.69537, 0.7652
1549.127075, 0.8048
1557.55878, 0.8036
1565.990485, 0.7953
1574.42219, 0.7503
1582.853895, 0.7552
1591.2856, 0.7508
1599.717305, 0.7245
1608.14901, 0.5195
1616.580715, 0.5485
1625.01242, 0.7705
1633.444125, 0.7776
1641.87583, 0.8737
1650.307535, 0.8964
1658.73924, 0.899
1667.170945, 0.901
1675.60265, 0.901
1684.034355, 0.901
1692.46606, 0.908
1700.897765, 0.903
1709.32947, 0.906
1717.761175, 0.9058
1726.19288, 0.899
1734.624585, 0.8694
1743.05629, 0.8434
1751.487995, 0.8825
1759.9197, 0.906
1768.351405, 0.901
1776.78311, 0.891
1785.214815, 0.881
1793.64652, 0.876
1802.078225, 0.8355
1810.50993, 0.767
1818.941635, 0.8239
1827.37334, 0.8638
1835.805045, 0.8819
1844.23675, 0.886
1852.668455, 0.8606
1861.10016, 0.7779
1869.531865, 0.7571
1877.96357, 0.8082
1886.395275, 0.8308
1894.82698, 0.8858
1903.258685, 0.9026
1911.69039, 0.9075
1920.122095, 0.906
1928.5538, 0.8908
1936.985505, 0.8559
1945.41721, 0.7711
1953.848915, 0.7423
1962.28062, 0.8108
1970.712325, 0.8277
1979.14403, 0.8856
1987.575735, 0.8997
1996.00744, 0.894
2004.439145, 0.9029
2012.87085, 0.913
2021.302555, 0.915
2029.73426, 0.9206
2038.165965, 0.921
2046.59767, 0.923
2055.029375, 0.923
2063.46108, 0.923
2071.892785, 0.921
2080.32449, 0.9206
2088.756195, 0.923
2097.1879, 0.923
2105.619605, 0.923
2114.05131, 0.921
2122.483015, 0.921
2130.91472, 0.921
2139.346425, 0.921
2147.77813, 0.921
2156.209835, 0.9204
2164.64154, 0.9154
2173.073245, 0.901
2181.50495, 0.916
2189.936655, 0.9154
2198.36836, 0.915
2206.800065, 0.92
2215.23177, 0.9154
2223.663475, 0.92
2232.09518, 0.92
2240.526885, 0.916
2248.95859, 0.916
2257.390295, 0.9154
2265.822, 0.91
2274.253705, 0.9123
2282.68541, 0.9117
2291.117115, 0.911
2299.54882, 0.9123
2307.980525, 0.915
2316.41223, 0.9041
